dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,amen_assets_cycle,S7_lag10,25,10,FALSE,0.000621160094284756,"",0.00400497955190326,0.876810912282419,0.255511159741158,0.316363652467823,950,475,
census,amen_assets_fridge,S0_baseline,25,0,FALSE,-0.00567499614125487,"",0.00469397674386763,0.227267339848194,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S1_cmig_log,25,0,TRUE,0.0188133722839152,"",0.0198433466158935,0.343564337023504,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S2_lag1,25,1,FALSE,-0.00572774826192415,"",0.00493042025878172,0.245935470932843,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S3_lag2,25,2,FALSE,-0.0057453598660209,"",0.00501308387069037,0.252343215619901,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S4_lag3,25,3,FALSE,-0.00518746570205511,"",0.00497620008915637,0.297732067408111,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S5_lag4,25,4,FALSE,-0.00495306048587053,"",0.00501711293786824,0.324031992096591,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S6_lag5,25,5,FALSE,-0.00535088218714444,"",0.00512776283791187,0.297243113664738,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_fridge,S7_lag10,25,10,FALSE,-0.00328069744693806,"",0.00919115388460471,0.721295004614009,0.0951943443733883,0.135565942444229,950,475,
census,amen_assets_internet,S0_baseline,25,0,FALSE,-0.0291242202895321,***,0.00803895369678534,0.000322796153343034,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S1_cmig_log,25,0,TRUE,0.0395494052057364,"",0.0303354346918536,0.192956352081434,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S2_lag1,25,1,FALSE,-0.030202868494286,***,0.00841379217197914,0.000365572158477273,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S3_lag2,25,2,FALSE,-0.0300188854621556,***,0.00851835918026184,0.000466272302615445,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S4_lag3,25,3,FALSE,-0.0297607514725273,***,0.00844093205698571,0.000463291286890991,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S5_lag4,25,4,FALSE,-0.0299883668683527,***,0.00850143533573864,0.000460434018755518,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S6_lag5,25,5,FALSE,-0.0304633833547558,***,0.00869787906857814,0.000504767716036425,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_internet,S7_lag10,25,10,FALSE,-0.0108739708552345,"",0.0163111857936893,0.505315427642697,0.159992730393393,0.200404760833903,950,475,
census,amen_assets_landline,S0_baseline,25,0,FALSE,0.00334950775108554,**,0.00135350678235096,0.0136840707922475,0.0347956222715259,0.0477657257005235,950,475,
